Date,Clean Tweet
29/11/16 5:16,Yes it s a pity that you also had started talking against Modi and  demonitisation Now what happened  twitter com madhukishwar s tatus 803288710242439169  
29/11/16 5:10,Pain of downtroddens   labours n low income masses beautifully penned by   Demonitisation  CurrencyCrisis pic twitter com n8SNf4L1Xb
29/11/16 4:29, 3Novices   Demonitisation   Chalta hai has to end  nation has got this once in a lifetime chance to leave a legacy  says Piyush Goyal Novem 
29/11/16 4:29,   and fabricated crowd will not come netas will not b able pay them due to demonitisation
29/11/16 4:20,The municipal election result in maharashtra is a clear indication that people at large are with prime minister Modi after demonitisation  
29/11/16 4:18,  AK doesn t kno banking channels of pymt as he himself deals in cash only exactly y he feels pinch of demonitisation
29/11/16 4:07,Demonitisation or adamamcy a cashless economy preceded by strides in education sector a move towards computer literate society 
29/11/16 3:54,I Pray for    May He come with flying colors if he has good intentions   May He fail if he has bad intentions  Demonitisation
29/11/16 3:23,     Because Modi removed all hoarded black money    Hmm    Looks like she is badly affected by  Demonitisation  twitter com ANI news statu s 803159163509452800  
29/11/16 2:15,  barkha u tried a lot to change the view of Mr  Nilekani on demonitisation  
29/11/16 2:04,This   DeMonitisation drive by  NarendraModi has been the WORST decision by him  Will Lose 2019  Happy    
29/11/16 1:50,       even da expats in UAE is apreciating Modiji 4 Demonitisation
29/11/16 1:47,How will PM check that bureaucrats do not use the amendments to harass people   Demonitisation  indianexpress com article india  india news india income tax law to be changed to raise penalty lock funds for welfare of poor   
29/11/16 1:40,Phir aaj kya naya farmaan aaya government se  Roz koi na koi kuch bhi issue ker deta hai update   Demonitisation
29/11/16 1:35,Demonitisation and the Rich Privilege Checklist   Tl DR version begins here  For a larger explanation look     tmblr co ZSY56y2FEPVQT
29/11/16 1:34,Reporter  Jab goli chali to aapne kya dekha   Bhakt   Mai Modi k  demonitisation k faisle k saath hoo    
29/11/16 1:25,we dnt need those type of fucker who r not supporting indian they r just watch there political career
29/11/16 1:25,Rail  Bus  Auto  labour 2 doctor  student 2 businessman  morning 2 night everywhere its Thumbs UP 2  Demonitisation  twitter com drprateekindia  status 803324343761719296  
29/11/16 1:24,Alas  you have spoiled such a long lecture of Mr Singhvi on uselessness of demonitisation   twitter com indiatoday sta tus 803269543342673920  
29/11/16 1:12,Retweeted Mahaveer       Aft Demonitisation Shock  Another Disastrous day 4 Kejri Gang  Modi Among 22     fb me 2CPheeJQC
29/11/16 1:12,Retweeted Mahaveer       Aft Demonitisation Shock  Another Disastrous day 4 Kejri Gang  Modi Among 22     fb me 84kNMr705
29/11/16 1:07,The new legal system is  Guilty unless proven Innocent   demonitisation  taxation  dictatorship  india  twitter com rssurjewala st atus 802963058389680128  
29/11/16 1:07, Modi s asking you to go Cashless Pls don t defy him for your own safety  They ll soon term you Antinational  demonitisation
29/11/16 1:05,Hain  Demonitisation is govt s move was attack also a govt move  Kuch bhi     twitter com SwarajyaMag st atus 803289863701135360  
29/11/16 1:04,Inheritance of Loss is about India s Demonitisation Experiment   ShilpaShettyReviews lol is she really that dumb 
29/11/16 1:04,HSBC says demonitisation to freeze realty sector in near term  fb me 2Y3wnibDG
29/11/16 0:58, The economy has got a cancer  the govt is trying to perform surgery and  AAP is complaining about the anesthesia   Demonitisation
29/11/16 0:56, soon the day will come we will have to start the  bartersystem again  Demonitisation
